TITLE,LAT,LON,ICON,DESCRIPTION,CREDIT,LINK,URL,IMAGE,HTML
The Bothy,57.006218,-3.398568,cafe,"The Bothy is on Bridge Street in Ballater and is a grand spot before or after a day exploring Royal Deeside.<br/>They have a welcoming log burner for chilly days and or you can sit outside if it's sunny. To set you up for the day choose a full Scottish breakfast which includes eggs, bacon, sausage and black pudding or hash browns. <br/>They have a wide range of sandwiches for lunch, their most popular being a brie, cranberry and bacon panini. To go with this are soups freshly made on the premises: sweet potato and ginger or parsnip and pear are typical.<br/>The array of home-bakes to accompany your tea or coffee are hard to refuse and include white chocolate blondies and carrot cake.",Text credit: <a href='food.list.co.uk' target='_blank'>food.list.co.uk</a>,food.list.co.uk,https://food.list.co.uk/place/55929-the-bothy/,img/the_bothy.jpg,"<p>The Bothy is on Bridge Street in Ballater and is a grand spot before or after a day exploring Royal Deeside.<br/>They have a welcoming log burner for chilly days and or you can sit outside if it's sunny. To set you up for the day choose a full Scottish breakfast which includes eggs, bacon, sausage and black pudding or hash browns. <br/>They have a wide range of sandwiches for lunch, their most popular being a brie, cranberry and bacon panini. To go with this are soups freshly made on the premises: sweet potato and ginger or parsnip and pear are typical.<br/>The array of home-bakes to accompany your tea or coffee are hard to refuse and include white chocolate blondies and carrot cake.</p><p><a href='https://food.list.co.uk/place/55929-the-bothy/' target='_blank'>food.list.co.uk</a></p><p>Text credit: <a href='food.list.co.uk' target='_blank'>food.list.co.uk</a></p><p><img src='img/the_bothy.jpg' width='100%'/>"
Braemar Castle,57.014707,-3.391439,castle,"Braemar Castle was built in 1628 in a commanding position overlooking the River Dee.  There were wide sweeping views up towards the mountain passes of Glen Clunie and the Lairig Ghru and down towards Deeside. The lands around the castle were owned by the Earls of Mar, hence the name Braemar, which translates as the 'hills of Mar.' The castle was an excellent place for the Earl to survey his domain and all who passed through it.<br/>Braemar castle, an L-shaped tower, was built primarily as a hunting lodge.  It was a base for grand hunting parties going to hunt deer, wild boar and perhaps the last few wolves that haunted the ancient forest.  It replaced a much older royal castle, Kindrochit, built by Malcolm Canmore in the 11th century.  Recent stabilisation work at Kindrochit has revealed what is possibly the oldest stone-built castle in Scotland.  The ruins of the castle can be seen opposite the butchers in Braemar village.",Text credit: <a href='www.braemarcastle.co.uk' target='_blank'>www.braemarcastle.co.uk</a>,www.braemarcastle.co.uk,http://www.braemarcastle.co.uk,img/braemar_castle.jpg,"<p>Braemar Castle was built in 1628 in a commanding position overlooking the River Dee.  There were wide sweeping views up towards the mountain passes of Glen Clunie and the Lairig Ghru and down towards Deeside. The lands around the castle were owned by the Earls of Mar, hence the name Braemar, which translates as the 'hills of Mar.' The castle was an excellent place for the Earl to survey his domain and all who passed through it.<br/>Braemar castle, an L-shaped tower, was built primarily as a hunting lodge.  It was a base for grand hunting parties going to hunt deer, wild boar and perhaps the last few wolves that haunted the ancient forest.  It replaced a much older royal castle, Kindrochit, built by Malcolm Canmore in the 11th century.  Recent stabilisation work at Kindrochit has revealed what is possibly the oldest stone-built castle in Scotland.  The ruins of the castle can be seen opposite the butchers in Braemar village.</p><p><a href='http://www.braemarcastle.co.uk' target='_blank'>www.braemarcastle.co.uk</a></p><p>Text credit: <a href='www.braemarcastle.co.uk' target='_blank'>www.braemarcastle.co.uk</a></p><p><img src='img/braemar_castle.jpg' width='100%'/>"
Balmoral Castle,57.040373,-3.23048,castle,"The Scottish holiday home to the Royal Family.<br/>Balmoral Castle has been the Scottish home of the Royal Family since it was purchased for Queen Victoria by Prince Albert in 1852, having been first leased in 1848.<br/>In the autumn of 1842, two and a half years after her marriage to Prince Albert, Queen Victoria paid her first visit to Scotland. They were so struck with the Highlands that they resolved to return. A further visit to Perthshire and then Ardverikie encouraged them to seize the opportunity to purchase Balmoral.",Text credit: <a href='www.balmoralcastle.com' target='_blank'>www.balmoralcastle.com</a>,www.balmoralcastle.com,http://www.balmoralcastle.com/,img/balmoral_castle.jpg,"<p>The Scottish holiday home to the Royal Family.<br/>Balmoral Castle has been the Scottish home of the Royal Family since it was purchased for Queen Victoria by Prince Albert in 1852, having been first leased in 1848.<br/>In the autumn of 1842, two and a half years after her marriage to Prince Albert, Queen Victoria paid her first visit to Scotland. They were so struck with the Highlands that they resolved to return. A further visit to Perthshire and then Ardverikie encouraged them to seize the opportunity to purchase Balmoral.</p><p><a href='http://www.balmoralcastle.com/' target='_blank'>www.balmoralcastle.com</a></p><p>Text credit: <a href='www.balmoralcastle.com' target='_blank'>www.balmoralcastle.com</a></p><p><img src='img/balmoral_castle.jpg' width='100%'/>"
The Strone,57.073255,-3.212485,mountain,"The Strone [8], between  Crathie and Gairnshiel, is a Pass on the B976 at a height of 480 metres / 1575 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/the_strone.png,"<p>The Strone [8], between  Crathie and Gairnshiel, is a Pass on the B976 at a height of 480 metres / 1575 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/the_strone.png' width='100%'/>"
Tom Dubh,57.133048,-3.15371,mountain,"Tom Dubh [6], between  Gairnshiel and Corgarff, is a Pass on the A939 at a height of 550 metres / 1804 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/tom_dubh.png,"<p>Tom Dubh [6], between  Gairnshiel and Corgarff, is a Pass on the A939 at a height of 550 metres / 1804 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/tom_dubh.png' width='100%'/>"
Corgarff Castle,57.162777,-3.234249,castle,"Unravel the two very different tales of this medieval tower house. Originally a noble residence, Corgarff became an army base for hunting down Jacobite sympathisers and, later, whisky smugglers.",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/corgarff-castle/,img/corgarff_castle.jpg,"<p>Unravel the two very different tales of this medieval tower house. Originally a noble residence, Corgarff became an army base for hunting down Jacobite sympathisers and, later, whisky smugglers.</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/corgarff-castle/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p><p><img src='img/corgarff_castle.jpg' width='100%'/>"
The Lecht,57.192255,-3.239866,mountain,"The Lecht [2], between  Cock Bridge and Tomintoul, is a Pass on the A939 at a height of 644 metres / 2113 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/the_lecht.png,"<p>The Lecht [2], between  Cock Bridge and Tomintoul, is a Pass on the A939 at a height of 644 metres / 2113 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/the_lecht.png' width='100%'/>"
Bridge of Brown,57.262933,-3.509491,mountain,"Bridge of Brown, between Grantown-on-Spey and Tomintoul, is a Pass on the A939 at a height of 438 metres / 1437 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/bridge_of_brown.png,"<p>Bridge of Brown, between Grantown-on-Spey and Tomintoul, is a Pass on the A939 at a height of 438 metres / 1437 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/bridge_of_brown.png' width='100%'/>"
Grantown-on-Spey,57.329065,-3.610204,lodging,"Grantown-on-Spey (Scottish Gaelic: Baile nan Granndach) is a town in the Highland Council Area, historically within the county of Moray. It was founded in 1765 as a planned settlement on a low plateau at Freuchie beside the river Spey at the northern edge of the Cairngorm mountains, about 20 miles south east of Inverness (35 miles by road).<br/>Originally called simply Grantown after Sir James Grant, on Spey was added by the burgh council in 1898.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/Grantown-on-Spey,,"<p>Grantown-on-Spey (Scottish Gaelic: Baile nan Granndach) is a town in the Highland Council Area, historically within the county of Moray. It was founded in 1765 as a planned settlement on a low plateau at Freuchie beside the river Spey at the northern edge of the Cairngorm mountains, about 20 miles south east of Inverness (35 miles by road).<br/>Originally called simply Grantown after Sir James Grant, on Spey was added by the burgh council in 1898.</p><p><a href='https://en.wikipedia.org/wiki/Grantown-on-Spey' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p>"
Old Pack Horse Bridge,57.283834,-3.815863,attraction,"The old packhorse bridge in Carrbridge in the Cairngorms National Park is the oldest stone bridge in the Highlands. The plaque near the viewpoint reads as follows:
""At the beginning of the eighteenth century, to the inconvenience of both travellers and local people, there was no point at which the River Dulnain could be crossed when it was in spate, and burials at the Church of Duthil were often delayed.
Brigadier-General Alexander Grant of Grant, Clan Chief, commissioned John Niccelsone, a mason from Ballindaloch, to build a bridge at Lynne of Dalrachney. Built between May and November 1717, the bridge was paid for out of stipends of the Parish of Duthill.
Its parapets and side walls were badly damaged in the 18th century and again in the famous flood of August 1829, giving the appearance it still has today.""",Text credit: <a href='www.scotlandinfo.eu' target='_blank'>www.scotlandinfo.eu</a>,www.scotlandinfo.eu,http://www.scotlandinfo.eu/old-packhorse-bridge-in-carrbridge/,img/pack-horse-bridge-carrbridge-700px.jpg,"<p>The old packhorse bridge in Carrbridge in the Cairngorms National Park is the oldest stone bridge in the Highlands. The plaque near the viewpoint reads as follows:
""At the beginning of the eighteenth century, to the inconvenience of both travellers and local people, there was no point at which the River Dulnain could be crossed when it was in spate, and burials at the Church of Duthil were often delayed.
Brigadier-General Alexander Grant of Grant, Clan Chief, commissioned John Niccelsone, a mason from Ballindaloch, to build a bridge at Lynne of Dalrachney. Built between May and November 1717, the bridge was paid for out of stipends of the Parish of Duthill.
Its parapets and side walls were badly damaged in the 18th century and again in the famous flood of August 1829, giving the appearance it still has today.""</p><p><a href='http://www.scotlandinfo.eu/old-packhorse-bridge-in-carrbridge/' target='_blank'>www.scotlandinfo.eu</a></p><p>Text credit: <a href='www.scotlandinfo.eu' target='_blank'>www.scotlandinfo.eu</a></p><p><img src='img/pack-horse-bridge-carrbridge-700px.jpg' width='100%'/>"
Slochd Summit,57.307104,-3.936569,mountain,"Slochd Summit [26], between  Carrbridge and Tomatin, is a Pass on the A9 at a height of 405 metres / 1329 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,,"<p>Slochd Summit [26], between  Carrbridge and Tomatin, is a Pass on the A9 at a height of 405 metres / 1329 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p>"
Glen Kyllachy,57.303808,-4.104275,mountain,"Glen Kyllachy [9], between  Garbole (Strathdearn) and Farr (Strathnairn), is a Pass on the unclassified at a height of 475 metres / 1558 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/glen_kyllachy.png,"<p>Glen Kyllachy [9], between  Garbole (Strathdearn) and Farr (Strathnairn), is a Pass on the unclassified at a height of 475 metres / 1558 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/glen_kyllachy.png' width='100%'/>"
Carn an t-Suidhe,57.15937,-4.564862,mountain,"CÔøΩrn an t-Suidhe [28], between  Fort Augustus and Whitebridge, is a Pass on the B862 at a height of 393 metres / 1289 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,,"<p>CÔøΩrn an t-Suidhe [28], between  Fort Augustus and Whitebridge, is a Pass on the B862 at a height of 393 metres / 1289 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p>"
Boathouse Restaurant,57.145853,-4.674629,restaurant,"The perfect place to come for a relaxed, family-friendly atmosphere, good food, and a stunning setting. Why not come down and try our freshly prepared fish and chips, soups, sandwiches, burgers, or even one of our speciality Mediterranean dishes.",Text credit: <a href='lochnessboathouse.co.uk' target='_blank'>lochnessboathouse.co.uk</a>,lochnessboathouse.co.uk,http://lochnessboathouse.co.uk,,"<p>The perfect place to come for a relaxed, family-friendly atmosphere, good food, and a stunning setting. Why not come down and try our freshly prepared fish and chips, soups, sandwiches, burgers, or even one of our speciality Mediterranean dishes.</p><p><a href='http://lochnessboathouse.co.uk' target='_blank'>lochnessboathouse.co.uk</a></p><p>Text credit: <a href='lochnessboathouse.co.uk' target='_blank'>lochnessboathouse.co.uk</a></p>"
Castle Urquhart,57.324146,-4.442001,castle,"Once one of ScotlandÔøΩs largest castles, Urquhart saw great conflict during its 500 years as a medieval fortress. Control of the castle passed back and forth between the Scots and English during the Wars of Independence. The power struggles continued, as the Lords of the Isles regularly raided both castle and glen up until the 1500s.

The last of the government troops garrisoned here during the Jacobite Risings blew up the castle when they left. UrquhartÔøΩs iconic ruins remain, offering glimpses into medieval times and the lives of its noble residents.",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/urquhart-castle/,,"<p>Once one of ScotlandÔøΩs largest castles, Urquhart saw great conflict during its 500 years as a medieval fortress. Control of the castle passed back and forth between the Scots and English during the Wars of Independence. The power struggles continued, as the Lords of the Isles regularly raided both castle and glen up until the 1500s.

The last of the government troops garrisoned here during the Jacobite Risings blew up the castle when they left. UrquhartÔøΩs iconic ruins remain, offering glimpses into medieval times and the lives of its noble residents.</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/urquhart-castle/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p>"
Corrimony Chambered Cairn,57.334473,-4.687804,attraction,"Corrimony Chambered Cairn is a ÔøΩClava typeÔøΩ cairn in a remarkable state of preservation. It demonstrates the skill and planning of its builders: considerable resources went into the construction of its grave, and unlike at Clava, much of the passageÔøΩs roof survives.

The cairn is situated in a glen, with pleasant surroundings of birch wood and cultivated land. There may well have been a prehistoric settlement close by.",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/corrimony-chambered-cairn/,,"<p>Corrimony Chambered Cairn is a ÔøΩClava typeÔøΩ cairn in a remarkable state of preservation. It demonstrates the skill and planning of its builders: considerable resources went into the construction of its grave, and unlike at Clava, much of the passageÔøΩs roof survives.

The cairn is situated in a glen, with pleasant surroundings of birch wood and cultivated land. There may well have been a prehistoric settlement close by.</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/corrimony-chambered-cairn/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p>"
Culloden Visitor Centre,57.477173,-4.092524,attraction,"On 16 April 1746, the final Jacobite Rising came to a brutal head in one of the most harrowing battles in British history.

Jacobite supporters, seeking to restore the Stuart monarchy to the British thrones, gathered to fight the Duke of Cumberland's government troops. It was the last pitched battle on British soil and, in less than an hour, around 1,500 men were slain ÔøΩ more than 1,000 of them Jacobites.

The richly researched, stimulating and sensitive Culloden Visitor Centre, which stands beside the battlefield, features artefacts from both sides of the battle and interactive displays that reveal the background to the conflict. It stands as a monument and a guide to a pivotal day in history.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/Visit/Culloden/,,"<p>On 16 April 1746, the final Jacobite Rising came to a brutal head in one of the most harrowing battles in British history.

Jacobite supporters, seeking to restore the Stuart monarchy to the British thrones, gathered to fight the Duke of Cumberland's government troops. It was the last pitched battle on British soil and, in less than an hour, around 1,500 men were slain ÔøΩ more than 1,000 of them Jacobites.

The richly researched, stimulating and sensitive Culloden Visitor Centre, which stands beside the battlefield, features artefacts from both sides of the battle and interactive displays that reveal the background to the conflict. It stands as a monument and a guide to a pivotal day in history.</p><p><a href='http://www.nts.org.uk/Visit/Culloden/' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p>"
Dun Beag Broch,57.360234,-6.425717,attraction,"DunÔøΩBeagÔøΩis an excellent example of a broch: a kind of Iron Age round stone tower only found in Scotland. It stands at the top of a rocky knoll on theÔøΩIsle of Skye, commanding excellent views of the surrounding landscape.ÔøΩ",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/dun-beag-broch/,,"<p>DunÔøΩBeagÔøΩis an excellent example of a broch: a kind of Iron Age round stone tower only found in Scotland. It stands at the top of a rocky knoll on theÔøΩIsle of Skye, commanding excellent views of the surrounding landscape.ÔøΩ</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/dun-beag-broch/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p>"
Dun Telve and Dun Troddan,57.194565,-5.594899,attraction,"Admire a pair of 2,000-year-old tall broch towers set in a beautiful glen. 

Dun Telve and Dun Troddan are both outstanding brochs, in the beautiful valley of Gleann Beag. They are unusually close together for brochs, standing just 500m apart. 

Their excellent state of preservation attracted attention from an early date, but they are also noteworthy for their design, scale and quality of build.  Dun Telve still stands to more than 10m in places. Dun Troddan is shorter, at 7.6m, but is better preserved.",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/glenelg-brochs-dun-telve-and-dun-troddan/,,"<p>Admire a pair of 2,000-year-old tall broch towers set in a beautiful glen. 

Dun Telve and Dun Troddan are both outstanding brochs, in the beautiful valley of Gleann Beag. They are unusually close together for brochs, standing just 500m apart. 

Their excellent state of preservation attracted attention from an early date, but they are also noteworthy for their design, scale and quality of build.  Dun Telve still stands to more than 10m in places. Dun Troddan is shorter, at 7.6m, but is better preserved.</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/glenelg-brochs-dun-telve-and-dun-troddan/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p>"
Inverlochy Castle,56.8323,-5.082385,castle,"Visit the medieval stronghold that dominated the southern end of the Great Glen. 

Inverlochy Castle was built by the ÔøΩRedÔøΩ Comyns, lords of Badenoch and Lochaber. The Comyns dominated northern Scotland in the 1200s, and were key supporters of King John Balliol, earning the enmity of Robert the Bruce.  

After seizing the throne in 1306, Bruce made the destruction of the Comyns a priority, and ruthlessly set about overthrowing them. 

Much of what we see at Inverlochy Castle today was built by the Comyns. ItÔøΩs a formidable fortress, which has survived remarkably well. Few castles from the 1200s survive unaltered in Scotland today, and Inverlochy is one of the most complete.",Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a>,www.historicenvironment.scot,https://www.historicenvironment.scot/visit-a-place/places/inverlochy-castle/,,"<p>Visit the medieval stronghold that dominated the southern end of the Great Glen. 

Inverlochy Castle was built by the ÔøΩRedÔøΩ Comyns, lords of Badenoch and Lochaber. The Comyns dominated northern Scotland in the 1200s, and were key supporters of King John Balliol, earning the enmity of Robert the Bruce.  

After seizing the throne in 1306, Bruce made the destruction of the Comyns a priority, and ruthlessly set about overthrowing them. 

Much of what we see at Inverlochy Castle today was built by the Comyns. ItÔøΩs a formidable fortress, which has survived remarkably well. Few castles from the 1200s survive unaltered in Scotland today, and Inverlochy is one of the most complete.</p><p><a href='https://www.historicenvironment.scot/visit-a-place/places/inverlochy-castle/' target='_blank'>www.historicenvironment.scot</a></p><p>Text credit: <a href='www.historicenvironment.scot' target='_blank'>www.historicenvironment.scot</a></p>"
Corrieshalloch Gorge,57.755396,-5.023355,attraction,"This mile-long box canyon, through which the River Droma rushes, takes its name from the Gaelic for ÔøΩugly hollowÔøΩ. But thatÔøΩs as far from the truth as can be.

A short steep walk, which is still wheelchair-accessible, will bring you to a Victorian suspension bridge, where you can gaze down over a series of crashing waterfalls cut naturally into a woodland cleft.

The suspension bridge was built by John Fowler, the pioneering engineer responsible for the worldÔøΩs first underground railway and joint chief engineer on the iconic Forth Railway Bridge.

Due to its extraordinary natural features, Corrieshalloch Gorge is a National Nature Reserve.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/Visit/Corrieshalloch-Gorge/,,"<p>This mile-long box canyon, through which the River Droma rushes, takes its name from the Gaelic for ÔøΩugly hollowÔøΩ. But thatÔøΩs as far from the truth as can be.

A short steep walk, which is still wheelchair-accessible, will bring you to a Victorian suspension bridge, where you can gaze down over a series of crashing waterfalls cut naturally into a woodland cleft.

The suspension bridge was built by John Fowler, the pioneering engineer responsible for the worldÔøΩs first underground railway and joint chief engineer on the iconic Forth Railway Bridge.

Due to its extraordinary natural features, Corrieshalloch Gorge is a National Nature Reserve.</p><p><a href='http://www.nts.org.uk/Visit/Corrieshalloch-Gorge/' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p>"
Inverewe Gardens,57.77529,-5.596776,attraction,"It's astonishing what you can grow in one of the most northerly corners of Scotland when you put your mind to it. Twisting through the soil on this patch of coast is a paradise of weird and wonderful botanicals, where the unexpected greets you at every corner.

Inverewe is an inspiring place that celebrates mankind and the natural environment. Marvel at our heritage garden comprising species from across the globe, created from a barren wilderness in the 19th century. A tale of enduring love and commitment, it is a feast for your senses.

Inverewe House is now a museum with a twist, where you are encouraged to interact with a variety of objects, play games and even take a piece of Inverewe home from our seed bank. The Sawyer Gallery hosts exhibitions throughout the year that reflect the characteristics of Inverewe and the surrounding environment.

Framed by mountains and 2 lochs, Inverewe enjoys a spectacular landscape. The light and colours on our 800ha estate are forever changing; this is a setting that inspires art and creativity. Our estate is also home to a host of flora and fauna.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/Visit/Inverewe/,,"<p>It's astonishing what you can grow in one of the most northerly corners of Scotland when you put your mind to it. Twisting through the soil on this patch of coast is a paradise of weird and wonderful botanicals, where the unexpected greets you at every corner.

Inverewe is an inspiring place that celebrates mankind and the natural environment. Marvel at our heritage garden comprising species from across the globe, created from a barren wilderness in the 19th century. A tale of enduring love and commitment, it is a feast for your senses.

Inverewe House is now a museum with a twist, where you are encouraged to interact with a variety of objects, play games and even take a piece of Inverewe home from our seed bank. The Sawyer Gallery hosts exhibitions throughout the year that reflect the characteristics of Inverewe and the surrounding environment.

Framed by mountains and 2 lochs, Inverewe enjoys a spectacular landscape. The light and colours on our 800ha estate are forever changing; this is a setting that inspires art and creativity. Our estate is also home to a host of flora and fauna.</p><p><a href='http://www.nts.org.uk/Visit/Inverewe/' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p>"
Killiekrankie,56.746086,-3.777501,attraction,"This rich conservation area cleaves a pass where the Highlands meet the Lowlands. The River Garry flows along the floor of a magnificent wooded gorge, where the tree-lined slopes are home to a variety of wildlife, flora and fauna. However, the Pass of Killiecrankie hasn't always been a haven of peace and tranquillity. On 27 July 1689 the first shots in the Battle of Killiecrankie were fired - one of the goriest battles in Jacobite history.

Find out about the geology, wildlife and history at the visitor centre, then follow the paths to explore the Pass. The views are breathtaking - a perfect place to contemplate nature and the past.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/Visit/Killiecrankie,img/killiekrankie.jpg,"<p>This rich conservation area cleaves a pass where the Highlands meet the Lowlands. The River Garry flows along the floor of a magnificent wooded gorge, where the tree-lined slopes are home to a variety of wildlife, flora and fauna. However, the Pass of Killiecrankie hasn't always been a haven of peace and tranquillity. On 27 July 1689 the first shots in the Battle of Killiecrankie were fired - one of the goriest battles in Jacobite history.

Find out about the geology, wildlife and history at the visitor centre, then follow the paths to explore the Pass. The views are breathtaking - a perfect place to contemplate nature and the past.</p><p><a href='http://www.nts.org.uk/Visit/Killiecrankie' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p><p><img src='img/killiekrankie.jpg' width='100%'/>"
The Scotch Whisky Experience,55.9487357,-3.1959108,alcohol-shop,,,,,,
Edinburgh Castle,55.948665,-3.199802,castle,,,,,,
Struie Viewpoint,57.841119,-4.27151,attraction,,,,,,
Scourie Fuel,58.35177,-5.15283,fuel,,,,,,
Scourie,58.352298,-5.148719,toilet,,,,,,
Stoer Lighthouse,58.239968,-5.402622,attraction,,,,,,
Lochinver Fuel,58.153753,-5.24003,restaurant,,,,,,
Lochinver Larder,58.1546,-5.23881,cafe,,,,,,
Ardvrek Castle,58.166419,-4.993862,attraction,,,,,,
Calda House,58.163955,-4.986882,attraction,,,,,,
Glenelg Inn,57.212451,-5.622541,lodging,,,,,,
Neist Point Lighthouse,57.423356,-6.787856,attraction,,,,,,
Talisker Distillery,57.302574,-6.356352,alcohol-shop,,,,,,
Sligachan Bridge,57.289831,-6.173208,attraction,,,,,,
Dunvegan Castle,57.448528,-6.589707,attraction,,,,,,
Uig Viewpoint,57.577952,-6.364762,attraction,,,,,,
Uig Fuel,57.587484,-6.376287,fuel,,,,,,
The Quiraing,57.629684,-6.287863,attraction,,,,,,
Applecross Inn,57.432721,-5.81588,restaurant,,,,,,
Applecross Fuel,57.433557,-5.813797,fuel,,,,,,
Bealach na Ba,57.418831,-5.70852,attraction,,,,,,
Bealach Café,57.418831,-5.602979,restaurant,,,,,,
Kishorn Seafood Bar,57.398992,-5.600749,restaurant,,,,,,
Nanny's,57.520414,-5.651619,cafe,,,,,,
Tigh An Eilean,57.521848,-5.651224,lodging,,,,,,
Toilets,57.52597,-5.64928,toilet,,,,,,
Loch Torridon Viewpoint,57.527708,-5.566592,attraction,,,,,,
The Torridon,57.52873,-5.528099,lodging,,,,,,
Torridon Stores and Café,57.549674,-5.516355,cafe,,,,,,
Ghille Brighde,57.575497,-5.684782,restaurant,,,,,,
The Gorse Bush,57.603075,-5.304744,cafe,,,,,,
Kinlochewe Fuel,57.604974,-5.30491,fuel,,,,,,
Loch Maree Viewpoint,57.582753,-5.235802,attraction,,,,,,
